ID,Crop Name,Growth Duration (Days),Season,Soil Type,NPK Ratio (N-P-K),N (kg/ha),P (kg/ha),K (kg/ha),Total Fertilizer (kg/ha),Fertilizer P (kg/ha),Fertilizer K (kg/ha),Fertilizer Schedule,Cultivation Tips,Harvesting Tips
20,Spinach,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Regular irrigation; spacing","Harvest leaves tender"
21,Amaranth,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
22,Lettuce,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Mulch; spacing","Harvest leaves tender"
23,Mint,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Irrigate regularly; mulch","Harvest leaves when aromatic"
24,Basil,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Mulch; spacing","Harvest leaves when mature"
25,Drumstick,90-120,Zaid,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (30 DAS)","Fast-growing summer vegetable","Harvest leaves & pods as needed"
26,Bottle Gourd Hybrid,80-90,Zaid,Loam/Sandy Loam,40-20-20,80,40,40,160,80,80,"Basal + Top Dressing (20 DAS)","High-yield variety; irrigation","Harvest when fruits attain size"
27,Water Spinach,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Leafy summer vegetable","Harvest leaves tender"
28,Ivy Gourd,60-70,Zaid,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 & 30 DAS)","Climbers; proper irrigation","Harvest fruits tender"
29,Ridge Gourd Hybrid,60-70,Zaid,Loam/Sandy Loam,40-20-20,80,40,40,160,80,80,"Basal + Side Dressing (15 DAS)","High-yield climber","Harvest fruits tender"
30,Bitter Gourd Hybrid,60-70,Zaid,Loam/Sandy Loam,40-20-20,80,40,40,160,80,80,"Basal + Side Dressing (15 DAS)","High-yield summer vegetable","Harvest fruits tender"
31,Turnip,50-60,Zaid,Loam/Sandy Loam,30-15-20,60,30,40,130,60,70,"Basal + Top Dressing (10 DAS)","Irrigate regularly; spacing","Harvest roots when medium size"
32,Carrot,60-70,Zaid,Loam/Sandy Loam,30-15-20,60,30,40,130,60,70,"Basal + Top Dressing (15 DAS)","Loose soil; irrigation","Harvest when roots attain size"
33,Radish,30-40,Zaid,Loam/Sandy Loam,25-15-15,50,30,30,110,50,60,"Basal + Top Dressing (10 DAS)","Quick-growing root crop","Harvest roots tender"
34,Beetroot,60-70,Zaid,Loam/Sandy Loam,30-15-20,60,30,40,130,60,70,"Basal + Top Dressing (15 DAS)","Irrigate properly; spacing","Harvest roots firm"
35,Chayote,120-150,Zaid,Loam/Clay,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (30 DAS)","Climber; trellis support","Harvest mature fruits"
36,Colocasia,90-100,Zaid,Clay Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Keep soil moist","Harvest corms when mature"
37,Okra Hybrid,50-60,Zaid,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 DAS)","High-yield variety; support","Harvest tender pods"
38,Amaranth Red,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
39,Spinach Malabar,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Regular irrigation; mulch","Harvest leaves tender"
40,Celery,60-70,Zaid,Loam/Sandy Loam,25-15-20,50,30,40,120,50,70,"Basal + Top Dressing (15 DAS)","Moist soil; spacing","Harvest when stalks firm"
41,Parsley,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Mulch; spacing","Harvest leaves tender"
42,Coriander,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Irrigate regularly; spacing","Harvest leaves aromatic"
43,Dill,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
44,Asparagus,120-150,Zaid,Loam/Clay,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (30 DAS)","Perennial crop; irrigation","Harvest shoots tender"
45,Leek,90-100,Zaid,Loam/Sandy Loam,30-15-20,60,30,40,130,60,70,"Basal + Top Dressing (15 DAS)","Loose soil; irrigation","Harvest when stems thick"
46,Scallion,60-70,Zaid,Loam/Sandy Loam,25-15-20,50,30,40,120,50,70,"Basal + Top Dressing (10 DAS)","Moist soil; spacing","Harvest green leaves & bulbs"
47,Sweet Potato,100-120,Zaid,Loam/Sandy Loam,40-20-20,80,40,40,160,80,80,"Basal + Top Dressing (20 DAS)","Irrigation; soil preparation","Harvest tubers mature"
48,Ginger,150-180,Zaid,Loam/Clay,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (30 DAS)","Rhizome crop; irrigation","Harvest mature rhizomes"
49,Turmeric,150-180,Zaid,Loam/Clay,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (30 DAS)","Moist soil; mulching","Harvest mature rhizomes"
50,Garlic,90-120,Zaid,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Loose soil; spacing","Harvest bulbs mature"
51,Water Spinach,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Moist soil; spacing","Harvest leaves tender"
52,Mustard Greens,40-50,Zaid,Loam/Clay,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
53,Bok Choy,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Mulch; irrigation","Harvest when leaves compact"
54,Chinese Cabbage,50-60,Zaid,Loam/Sandy Loam,25-15-20,50,30,40,120,50,70,"Basal + Top Dressing (15 DAS)","Spacing; irrigation","Harvest when heads firm"
55,Radicchio,60-70,Zaid,Loam/Sandy Loam,25-15-20,50,30,40,120,50,70,"Basal + Top Dressing (15 DAS)","Loose soil; irrigation","Harvest when heads compact"
56,Endive,50-60,Zaid,Loam/Sandy Loam,25-15-20,50,30,40,120,50,70,"Basal + Top Dressing (15 DAS)","Irrigate regularly; spacing","Harvest leaves tender"
57,Chicory,50-60,Zaid,Loam/Sandy Loam,25-15-20,50,30,40,120,50,70,"Basal + Top Dressing (15 DAS)","Mulch; spacing","Harvest leaves tender"
58,Lettuce,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
59,Arugula,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Quick-growing; spacing","Harvest leaves tender"
60,Watercress,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Keep soil wet; spacing","Harvest leaves tender"
61,Spinach,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Regular irrigation; mulch","Harvest leaves tender"
62,Amaranth,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
63,Mustard Spinach,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; mulch","Harvest leaves tender"
64,Kangkong,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Keep soil moist","Harvest leaves tender"
65,Celosia,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves and stems"
66,Basil,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Mulch; spacing","Harvest leaves when aromatic"
67,Thai Basil,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Irrigate regularly; spacing","Harvest leaves tender"
68,Chives,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; mulch","Harvest leaves tender"
69,Dill,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
70,Cilantro,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Irrigate regularly; mulch","Harvest leaves tender"
71,Parsley,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
72,Spinach Malabar,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Regular irrigation; spacing","Harvest leaves tender"
73,Lettuce Romaine,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Mulch; spacing","Harvest leaves tender"
74,Iceberg Lettuce,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Irrigate properly; spacing","Harvest when heads firm"
75,Mesclun Mix,40-50,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
80,Kale Zaid,50-60,Zaid,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Spacing; irrigation","Harvest leaves tender"
