S.No,Crop Name,Soil Type,Growth Duration (Days),Season,N-P-K Ratio,Urea (kg/ha),DAP (kg/ha),MOP (kg/ha),Fertilizer Schedule,Water Requirement,Cultivation Tips,Harvesting Tips
79,Okra,Black Soil,65-80,Kharif,70-40-40,100,58,60,Basal + top dressing at 25 DAS,460,High moisture retention; avoid waterlogging,Harvest every 2–3 days for young pods
80,Okra,Laterite Soil,60-75,Kharif,70-40-40,105,60,60,Basal + top dressing at 25 DAS,420,Add compost to improve fertility,Harvest pods when tender and straight
81,Capsicum,Sandy Soil,100-120,Kharif/Rabi,120-60-80,180,90,120,Basal + 2 top dressings at 30 & 60 DAS,550,Frequent irrigation and staking for uniform fruits,Harvest mature fruits when fully colored; successive picking
82,Capsicum,Sandy Loam,100-120,Kharif/Rabi,120-60-80,170,85,115,Basal + 2 top dressings at 30 & 60 DAS,520,Loose soil promotes good root growth,Harvest mature fruits regularly to avoid overripe pods
83,Capsicum,Loam,110-130,Kharif/Rabi,120-60-80,170,85,115,Basal + 2 top dressings at 30 & 60 DAS,500,Well-drained loam ensures high yield,Harvest fruits when firm and fully colored
84,Capsicum,Clay Loam,115-135,Kharif/Rabi,120-60-80,170,85,115,Basal + 2 top dressings at 30 & 60 DAS,520,Ensure proper drainage; mulch to retain moisture,Harvest fruits periodically to maintain fruit set
85,Capsicum,Clay,115-135,Kharif/Rabi,120-60-80,170,85,115,Basal + 2 top dressings at 30 & 60 DAS,540,Raised beds recommended for heavy soils,Harvest mature fruits; avoid bruising
86,Capsicum,Red Soil,105-125,Kharif/Rabi,120-60-80,170,85,115,Basal + 2 top dressings at 30 & 60 DAS,500,Responds well to compost and phosphorus,Harvest when fruits reach full size and color
87,Capsicum,Black Soil,110-130,Kharif/Rabi,120-60-80,175,88,120,Basal + 2 top dressings at 30 & 60 DAS,560,High moisture retention; prevent waterlogging,Harvest fruits regularly for continuous production
88,Capsicum,Laterite Soil,105-125,Kharif/Rabi,120-60-80,180,90,120,Basal + 2 top dressings at 30 & 60 DAS,520,Add organic matter to improve fertility,Harvest mature fruits; protect from sunburn
89,Chilli (green),Sandy Soil,90-110,Kharif/Rabi,100-50-60,150,75,90,Basal + top dressing at 30 DAS,500,Frequent irrigation and staking for upright growth,Harvest green fruits 60–80 days after transplanting
90,Chilli (green),Sandy Loam,90-110,Kharif/Rabi,100-50-60,140,70,85,Basal + top dressing at 30 DAS,470,Loose soil promotes strong root system,Harvest green fruits periodically to avoid overripe pods
91,Chilli (green),Loam,100-120,Kharif/Rabi,100-50-60,140,70,85,Basal + top dressing at 30 DAS,450,Well-drained loam favors fruit setting,Harvest tender green fruits regularly
92,Chilli (green),Clay Loam,105-125,Kharif/Rabi,100-50-60,140,70,85,Basal + top dressing at 30 DAS,470,Ensure drainage to prevent fungal issues,Harvest green fruits; cut stems carefully
93,Chilli (green),Clay,105-125,Kharif/Rabi,100-50-60,140,70,85,Basal + top dressing at 30 DAS,490,Raised beds recommended in heavy clay,Harvest fruits before turning red for green market
94,Chilli (green),Red Soil,95-115,Kharif/Rabi,100-50-60,140,70,85,Basal + top dressing at 30 DAS,450,Responds well to FYM and phosphorus,Harvest regularly to maintain continuous yield
95,Chilli (green),Black Soil,100-120,Kharif/Rabi,100-50-60,145,73,90,Basal + top dressing at 30 DAS,510,High moisture retention; surface drainage essential,Harvest green fruits frequently
96,Chilli (green),Laterite Soil,95-115,Kharif/Rabi,100-50-60,150,75,90,Basal + top dressing at 30 DAS,470,Add compost to improve fertility,Harvest tender green fruits periodically
97,Bitter gourd,Sandy Soil,60-80,Kharif,80-40-60,120,60,90,Basal + top dressing at 25 DAS,500,Supports vertical growth on trellis; frequent irrigation,Harvest tender fruits 50–60 days after flowering
98,Bitter gourd,Sandy Loam,60-80,Kharif,80-40-60,110,55,85,Basal + top dressing at 25 DAS,470,Loose soil ensures quick root growth,Harvest fruits when green and firm
99,Bitter gourd,Loam,65-85,Kharif,80-40-60,110,55,85,Basal + top dressing at 25 DAS,450,Well-drained loam favors uniform fruiting,Harvest frequently to encourage more flowering
100,Bitter gourd,Clay Loam,70-90,Kharif,80-40-60,110,55,85,Basal + top dressing at 25 DAS,470,Ensure drainage; prevent waterlogging,Harvest fruits before seeds develop fully
101,Bitter gourd,Clay,70-90,Kharif,80-40-60,110,55,85,Basal + top dressing at 25 DAS,490,Use raised beds; avoid heavy soil compaction,Harvest tender fruits regularly
102,Bitter gourd,Red Soil,65-85,Kharif,80-40-60,110,55,85,Basal + top dressing at 25 DAS,450,Responds well to organic amendments,Harvest fruits when bright green and firm
103,Bitter gourd,Black Soil,70-90,Kharif,80-40-60,115,58,90,Basal + top dressing at 25 DAS,510,High moisture retention; prevent fungal attack,Harvest regularly to avoid overripe bitter fruits
104,Bitter gourd,Laterite Soil,65-85,Kharif,80-40-60,120,60,90,Basal + top dressing at 25 DAS,470,Add compost to improve fertility,Harvest tender fruits periodically
105,Snake gourd,Sandy Soil,80-100,Kharif,70-35-60,105,53,90,Basal + top dressing at 30 DAS,480,Supports trellis growth; frequent irrigation,Harvest fruits 55–65 days after flowering
106,Snake gourd,Sandy Loam,80-100,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,450,Loose soil encourages vigorous growth,Harvest tender fruits regularly for market
107,Snake gourd,Loam,85-105,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,430,Well-drained loam gives uniform fruiting,Harvest fruits when 30–40 cm long
108,Snake gourd,Clay Loam,90-110,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,450,Ensure proper drainage,Harvest tender fruits periodically
109,Snake gourd,Clay,90-110,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,470,Raised beds recommended for heavy soils,Harvest regularly for best quality
110,Snake gourd,Red Soil,85-105,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,430,Responds well to compost,Harvest fruits when tender
111,Snake gourd,Black Soil,90-110,Kharif,70-35-60,100,50,90,Basal + top dressing at 30 DAS,490,High moisture retention; avoid waterlogging,Harvest fruits before seeds harden
112,Snake gourd,Laterite Soil,85-105,Kharif,70-35-60,105,53,90,Basal + top dressing at 30 DAS,450,Add organic matter for fertility,Harvest tender fruits periodically
113,Bottle gourd,Sandy Soil,80-100,Kharif,70-35-60,105,53,90,Basal + top dressing at 30 DAS,480,Supports trellis growth; frequent irrigation,Harvest fruits 55–65 days after flowering
114,Bottle gourd,Sandy Loam,80-100,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,450,Loose soil promotes vigorous growth,Harvest tender fruits regularly for market
115,Bottle gourd,Loam,85-105,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,430,Well-drained loam ensures uniform fruiting,Harvest fruits when 30–40 cm long
116,Bottle gourd,Clay Loam,90-110,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,450,Ensure drainage to prevent fungal diseases,Harvest tender fruits periodically
117,Bottle gourd,Clay,90-110,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,470,Raised beds recommended in heavy clay,Harvest regularly for quality fruits
118,Bottle gourd,Red Soil,85-105,Kharif,70-35-60,95,48,85,Basal + top dressing at 30 DAS,430,Responds well to compost/FYM,Harvest fruits when tender
119,Bottle gourd,Black Soil,90-110,Kharif,70-35-60,100,50,90,Basal + top dressing at 30 DAS,490,High moisture retention; surface drainage essential,Harvest fruits before seeds harden
120,Bottle gourd,Laterite Soil,85-105,Kharif,70-35-60,105,53,90,Basal + top dressing at 30 DAS,450,Add organic matter to improve fertility,Harvest tender fruits periodically
121,Ridge gourd,Sandy Soil,70-90,Kharif,70-35-60,105,53,90,Basal + top dressing at 25 DAS,480,Supports trellis growth; frequent irrigation,Harvest tender fruits 50–60 days after flowering
122,Ridge gourd,Sandy Loam,70-90,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,450,Loose soil encourages vigorous growth,Harvest young fruits regularly for market
123,Ridge gourd,Loam,75-95,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,430,Well-drained loam gives uniform fruiting,Harvest fruits when 30–40 cm long
124,Ridge gourd,Clay Loam,80-100,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,450,Ensure proper drainage,Harvest tender fruits periodically
125,Ridge gourd,Clay,80-100,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,470,Raised beds recommended for heavy soils,Harvest regularly for best quality
126,Ridge gourd,Red Soil,75-95,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,430,Responds well to compost/FYM,Harvest fruits when tender
127,Ridge gourd,Black Soil,80-100,Kharif,70-35-60,100,50,90,Basal + top dressing at 25 DAS,490,High moisture retention; avoid waterlogging,Harvest fruits before seeds harden
128,Ridge gourd,Laterite Soil,75-95,Kharif,70-35-60,105,53,90,Basal + top dressing at 25 DAS,450,Add organic matter to improve fertility,Harvest tender fruits periodically
129,Sponge gourd,Sandy Soil,70-90,Kharif,70-35-60,105,53,90,Basal + top dressing at 25 DAS,480,Supports trellis growth; frequent irrigation,Harvest tender fruits 50–60 days after flowering
130,Sponge gourd,Sandy Loam,70-90,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,450,Loose soil encourages vigorous growth,Harvest young fruits regularly for market
131,Sponge gourd,Loam,75-95,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,430,Well-drained loam gives uniform fruiting,Harvest fruits when 30–40 cm long
132,Sponge gourd,Clay Loam,80-100,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,450,Ensure proper drainage,Harvest tender fruits periodically
133,Sponge gourd,Clay,80-100,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,470,Raised beds recommended for heavy soils,Harvest regularly for best quality
134,Sponge gourd,Red Soil,75-95,Kharif,70-35-60,95,48,85,Basal + top dressing at 25 DAS,430,Responds well to compost/FYM,Harvest fruits when tender
135,Sponge gourd,Black Soil,80-100,Kharif,70-35-60,100,50,90,Basal + top dressing at 25 DAS,490,High moisture retention; avoid waterlogging,Harvest fruits before seeds harden
136,Sponge gourd,Laterite Soil,75-95,Kharif,70-35-60,105,53,90,Basal + top dressing at 25 DAS,450,Add organic matter to improve fertility,Harvest tender fruits periodically
137,Pumpkin,Sandy Soil,90-120,Kharif,80-40-60,120,60,90,Basal + 2 top dressings at 30 & 60 DAS,550,Supports vine growth; frequent irrigation,Harvest mature fruits 90–120 days after sowing
138,Pumpkin,Sandy Loam,90-120,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,520,Loose soil encourages uniform fruiting,Harvest mature fruits regularly for market
139,Pumpkin,Loam,100-130,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,500,Well-drained loam favors large fruit development,Harvest fruits when rind hardens and color matures
140,Pumpkin,Clay Loam,110-140,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,520,Ensure drainage to prevent root rot,Harvest mature fruits periodically
141,Pumpkin,Clay,110-140,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,540,Raised beds recommended in heavy soils,Harvest mature fruits when fully colored
142,Pumpkin,Red Soil,95-125,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,500,Responds well to organic amendments,Harvest fruits when rind hard and firm
143,Pumpkin,Black Soil,100-130,Kharif,80-40-60,115,58,90,Basal + 2 top dressings at 30 & 60 DAS,560,High moisture retention; prevent waterlogging,Harvest fruits at full maturity
144,Pumpkin,Laterite Soil,95-125,Kharif,80-40-60,120,60,90,Basal + 2 top dressings at 30 & 60 DAS,520,Add compost to improve fertility,Harvest mature fruits periodically
145,Cucumber,Sandy Soil,50-70,Kharif,70-35-60,105,53,90,Basal + top dressing at 20 DAS,450,Supports trellis growth; frequent irrigation,Harvest tender fruits 45–55 days after flowering
146,Cucumber,Sandy Loam,50-70,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,420,Loose soil encourages vigorous vine growth,Harvest fruits regularly for market
147,Cucumber,Loam,55-75,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,400,Well-drained loam ensures uniform fruiting,Harvest fruits when 15–20 cm long
148,Cucumber,Clay Loam,60-80,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,420,Ensure proper drainage; avoid waterlogging,Harvest tender fruits periodically
149,Cucumber,Clay,60-80,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,440,Raised beds recommended in heavy clay,Harvest fruits regularly to maintain quality
150,Cucumber,Red Soil,55-75,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,400,Responds well to FYM and compost,Harvest tender fruits periodically
151,Cucumber,Black Soil,60-80,Kharif,70-35-60,100,50,90,Basal + top dressing at 20 DAS,460,High moisture retention; prevent fungal attack,Harvest fruits before seeds harden
152,Cucumber,Laterite Soil,55-75,Kharif,70-35-60,105,53,90,Basal + top dressing at 20 DAS,420,Add organic matter to improve fertility,Harvest tender fruits periodically
153,Ash gourd,Sandy Soil,100-120,Kharif,80-40-60,120,60,90,Basal + 2 top dressings at 30 & 60 DAS,550,Supports vine growth; frequent irrigation,Harvest mature fruits 90–120 days after sowing
154,Ash gourd,Sandy Loam,100-120,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,520,Loose soil encourages uniform fruiting,Harvest mature fruits regularly
155,Ash gourd,Loam,110-130,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,500,Well-drained loam favors large fruit development,Harvest fruits when rind hardens
156,Ash gourd,Clay Loam,110-140,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,520,Ensure drainage to prevent root rot,Harvest mature fruits periodically
157,Ash gourd,Clay,110-140,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,540,Raised beds recommended in heavy soils,Harvest mature fruits when fully colored
158,Ash gourd,Red Soil,95-125,Kharif,80-40-60,110,55,85,Basal + 2 top dressings at 30 & 60 DAS,500,Responds well to organic amendments,Harvest fruits when rind hard and firm
159,Ash gourd,Black Soil,100-130,Kharif,80-40-60,115,58,90,Basal + 2 top dressings at 30 & 60 DAS,560,High moisture retention; prevent waterlogging,Harvest fruits at full maturity
160,Ash gourd,Laterite Soil,95-125,Kharif,80-40-60,120,60,90,Basal + 2 top dressings at 30 & 60 DAS,520,Add compost to improve fertility,Harvest mature fruits periodically
161,Ivy gourd (Tindora),Sandy Soil,50-70,Kharif,70-35-60,105,53,90,Basal + top dressing at 20 DAS,450,Supports trellis growth; frequent irrigation,Harvest tender fruits 45–55 days after flowering
162,Ivy gourd (Tindora),Sandy Loam,50-70,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,420,Loose soil encourages vigorous vine growth,Harvest fruits regularly for market
163,Ivy gourd (Tindora),Loam,55-75,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,400,Well-drained loam ensures uniform fruiting,Harvest fruits when 10–15 cm long
164,Ivy gourd (Tindora),Clay Loam,60-80,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,420,Ensure proper drainage; avoid waterlogging,Harvest tender fruits periodically
165,Ivy gourd (Tindora),Clay,60-80,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,440,Raised beds recommended in heavy clay,Harvest fruits regularly to maintain quality
166,Ivy gourd (Tindora),Red Soil,55-75,Kharif,70-35-60,95,48,85,Basal + top dressing at 20 DAS,400,Responds well to FYM and compost,Harvest tender fruits periodically
167,Ivy gourd (Tindora),Black Soil,60-80,Kharif,70-35-60,100,50,90,Basal + top dressing at 20 DAS,460,High moisture retention; prevent fungal attack,Harvest fruits before seeds harden
168,Ivy gourd (Tindora),Laterite Soil,55-75,Kharif,70-35-60,105,53,90,Basal + top dressing at 20 DAS,420,Add organic matter to improve fertility,Harvest tender fruits periodically
169,Cabbage,Sandy Soil,80-100,Rabi,100-50-50,150,75,75,Basal + top dressing at 30 DAS,500,Frequent irrigation; loose sandy soil supports head formation,Harvest when heads are firm and compact
170,Cabbage,Sandy Loam,80-100,Rabi,100-50-50,140,70,70,Basal + top dressing at 30 DAS,470,Loose soil improves root development,Harvest mature heads; avoid splitting
171,Cabbage,Loam,90-110,Rabi,100-50-50,140,70,70,Basal + top dressing at 30 DAS,450,Well-drained loam ensures uniform head growth,Harvest heads when firm and tight
172,Cabbage,Clay Loam,95-115,Rabi,100-50-50,140,70,70,Basal + top dressing at 30 DAS,470,Ensure drainage; prevent waterlogging,Harvest heads when fully formed
173,Cabbage,Clay,95-115,Rabi,100-50-50,140,70,70,Basal + top dressing at 30 DAS,490,Raised beds recommended in heavy soils,Harvest heads before splitting
174,Cabbage,Red Soil,85-105,Rabi,100-50-50,140,70,70,Basal + top dressing at 30 DAS,450,Responds well to compost/FYM,Harvest firm heads; remove diseased leaves
175,Cabbage,Black Soil,90-110,Rabi,100-50-50,145,73,75,Basal + top dressing at 30 DAS,510,High moisture retention; prevent waterlogging,Harvest when heads are compact
176,Cabbage,Laterite Soil,85-105,Rabi,100-50-50,150,75,75,Basal + top dressing at 30 DAS,470,Add organic matter to improve fertility,Harvest firm heads; avoid splitting
177,Cauliflower,Sandy Soil,90-110,Rabi,120-60-60,180,90,90,Basal + top dressing at 30 & 60 DAS,520,Frequent irrigation; loose soil supports curd formation,Harvest when curds are compact and white
178,Cauliflower,Sandy Loam,90-110,Rabi,120-60-60,170,85,85,Basal + top dressing at 30 & 60 DAS,490,Loose soil favors uniform growth,Harvest curds when firm; avoid yellowing
179,Cauliflower,Loam,100-120,Rabi,120-60-60,170,85,85,Basal + top dressing at 30 & 60 DAS,470,Well-drained loam supports curd development,Harvest mature curds; tie leaves if needed
180,Cauliflower,Clay Loam,105-125,Rabi,120-60-60,170,85,85,Basal + top dressing at 30 & 60 DAS,490,Ensure drainage; mulch to retain moisture,Harvest curds when tight and compact
181,Cauliflower,Clay,105-125,Rabi,120-60-60,170,85,85,Basal + top dressing at 30 & 60 DAS,510,Raised beds recommended in heavy soils,Harvest curds before yellowing
182,Cauliflower,Red Soil,95-115,Rabi,120-60-60,170,85,85,Basal + top dressing at 30 & 60 DAS,470,Responds well to FYM and compost,Harvest firm curds; remove outer leaves
183,Cauliflower,Black Soil,100-120,Rabi,120-60-60,175,88,90,Basal + top dressing at 30 & 60 DAS,530,High moisture retention; avoid waterlogging,Harvest mature curds periodically
184,Cauliflower,Laterite Soil,95-115,Rabi,120-60-60,180,90,90,Basal + top dressing at 30 & 60 DAS,490,Add organic matter to improve fertility,Harvest firm curds; avoid overmature curds
185,Broccoli,Sandy Soil,85-105,Rabi,110-55-70,165,83,105,Basal + top dressing at 30 & 60 DAS,500,Supports firm head formation; frequent irrigation,Harvest central heads when compact
186,Broccoli,Sandy Loam,85-105,Rabi,110-55-70,155,78,100,Basal + top dressing at 30 & 60 DAS,470,Loose soil improves root and head growth,Harvest mature heads; cut early side shoots for prolonging yield
187,Broccoli,Loam,95-115,Rabi,110-55-70,155,78,100,Basal + top dressing at 30 & 60 DAS,450,Well-drained loam favors uniform head growth,Harvest central heads when firm
188,Broccoli,Clay Loam,100-120,Rabi,110-55-70,155,78,100,Basal + top dressing at 30 & 60 DAS,470,Ensure proper drainage; prevent waterlogging,Harvest main head before side shoots develop
189,Broccoli,Clay,100-120,Rabi,110-55-70,155,78,100,Basal + top dressing at 30 & 60 DAS,490,Raised beds recommended for heavy soils,Harvest central head when firm; remove yellow leaves
190,Broccoli,Red Soil,90-110,Rabi,110-55-70,155,78,100,Basal + top dressing at 30 & 60 DAS,450,Responds well to FYM and compost,Harvest central head when compact
191,Broccoli,Black Soil,95-115,Rabi,110-55-70,160,80,105,Basal + top dressing at 30 & 60 DAS,510,High moisture retention; avoid waterlogging,Harvest heads regularly to prolong harvest
192,Broccoli,Laterite Soil,90-110,Rabi,110-55-70,165,83,105,Basal + top dressing at 30 & 60 DAS,470,Add organic matter to improve fertility,Harvest central head; successive side shoots can be harvested
193,Knol-khol,Sandy Soil,80-100,Rabi,100-50-50,150,75,75,Basal + top dressing at 25 DAS,500,Loose soil favors bulb formation; frequent irrigation,Harvest when bulbs are firm and compact
194,Knol-khol,Sandy Loam,80-100,Rabi,100-50-50,140,70,70,Basal + top dressing at 25 DAS,470,Loose soil supports even growth,Harvest mature bulbs before splitting
195,Knol-khol,Loam,90-110,Rabi,100-50-50,140,70,70,Basal + top dressing at 25 DAS,450,Well-drained loam ensures uniform bulb growth,Harvest bulbs when firm and fully formed
196,Knol-khol,Clay Loam,95-115,Rabi,100-50-50,140,70,70,Basal + top dressing at 25 DAS,470,Ensure drainage; prevent waterlogging,Harvest bulbs when mature
197,Knol-khol,Clay,95-115,Rabi,100-50-50,140,70,70,Basal + top dressing at 25 DAS,490,Raised beds recommended for heavy soils,Harvest bulbs before splitting
198,Knol-khol,Red Soil,85-105,Rabi,100-50-50,140,70,70,Basal + top dressing at 25 DAS,450,Responds well to compost/FYM,Harvest firm bulbs; remove diseased leaves
199,Knol-khol,Black Soil,90-110,Rabi,100-50-50,145,73,75,Basal + top dressing at 25 DAS,510,High moisture retention; avoid waterlogging,Harvest mature bulbs regularly
200,Knol-khol,Laterite Soil,85-105,Rabi,100-50-50,150,75,75,Basal + top dressing at 25 DAS,470,Add organic matter to improve fertility,Harvest firm bulbs; avoid splitting
201,Cluster beans,Sandy Soil,60-80,Kharif,60-30-40,90,45,60,Basal + top dressing at 25 DAS,400,Supports trellis growth; frequent irrigation,Harvest tender pods 50–60 days after sowing
202,Cluster beans,Sandy Loam,60-80,Kharif,60-30-40,80,40,55,Basal + top dressing at 25 DAS,370,Loose soil encourages healthy root growth,Harvest young pods regularly for market
203,Cluster beans,Loam,65-85,Kharif,60-30-40,80,40,55,Basal + top dressing at 25 DAS,350,Well-drained loam ensures uniform flowering,Harvest pods when 10–12 cm long
204,Cluster beans,Clay Loam,70-90,Kharif,60-30-40,80,40,55,Basal + top dressing at 25 DAS,370,Ensure proper drainage; prevent waterlogging,Harvest tender pods periodically
205,Cluster beans,Clay,70-90,Kharif,60-30-40,80,40,55,Basal + top dressing at 25 DAS,390,Raised beds recommended in heavy soils,Harvest pods regularly for best quality
206,Cluster beans,Red Soil,65-85,Kharif,60-30-40,80,40,55,Basal + top dressing at 25 DAS,350,Responds well to compost/FYM,Harvest tender pods 2–3 times per week
207,Cluster beans,Black Soil,70-90,Kharif,60-30-40,85,43,60,Basal + top dressing at 25 DAS,410,High moisture retention; avoid waterlogging,Harvest pods before they become fibrous
208,Cluster beans,Laterite Soil,65-85,Kharif,60-30-40,90,45,60,Basal + top dressing at 25 DAS,370,Add organic matter to improve fertility,Harvest tender pods periodically
209,Sword beans,Sandy Soil,90-110,Kharif,70-40-60,105,60,90,Basal + top dressing at 30 DAS,500,Supports vertical growth; frequent irrigation,Harvest tender pods 60–80 days after sowing
210,Sword beans,Sandy Loam,90-110,Kharif,70-40-60,95,55,85,Basal + top dressing at 30 DAS,470,Loose soil promotes root development,Harvest pods when young and tender
211,Sword beans,Loam,95-115,Kharif,70-40-60,95,55,85,Basal + top dressing at 30 DAS,450,Well-drained loam supports flowering,Harvest pods regularly to maintain quality
212,Sword beans,Clay Loam,100-120,Kharif,70-40-60,95,55,85,Basal + top dressing at 30 DAS,470,Ensure proper drainage; prevent fungal diseases,Harvest tender pods frequently
213,Sword beans,Clay,100-120,Kharif,70-40-60,95,55,85,Basal + top dressing at 30 DAS,490,Raised beds recommended for heavy soils,Harvest pods when firm and young
214,Sword beans,Red Soil,95-115,Kharif,70-40-60,95,55,85,Basal + top dressing at 30 DAS,450,Responds well to organic amendments,Harvest young pods periodically
215,Sword beans,Black Soil,100-120,Kharif,70-40-60,100,58,90,Basal + top dressing at 30 DAS,510,High moisture retention; avoid waterlogging,Harvest tender pods regularly
216,Sword beans,Laterite Soil,95-115,Kharif,70-40-60,105,60,90,Basal + top dressing at 30 DAS,470,Add compost to improve fertility,Harvest young pods frequently
217,Peas,Sandy Soil,60-80,Rabi,60-30-40,90,45,60,Basal + top dressing at 20 DAS,400,Cool climate crop; supports trellis growth,Harvest pods 50–60 days after sowing
218,Peas,Sandy Loam,60-80,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,370,Loose soil encourages root growth,Harvest young pods regularly for market
219,Peas,Loam,65-85,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,350,Well-drained loam ensures uniform pod set,Harvest pods when 7–10 cm long
220,Peas,Clay Loam,70-90,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,370,Ensure drainage; avoid waterlogging,Harvest pods periodically to maintain quality
221,Peas,Clay,70-90,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,390,Raised beds recommended in heavy soils,Harvest pods regularly for best quality
222,Peas,Red Soil,65-85,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,350,Responds well to FYM/compost,Harvest tender pods 2–3 times per week
223,Peas,Black Soil,70-90,Rabi,60-30-40,85,43,60,Basal + top dressing at 20 DAS,410,High moisture retention; avoid waterlogging,Harvest pods before they become fibrous
224,Peas,Laterite Soil,65-85,Rabi,60-30-40,90,45,60,Basal + top dressing at 20 DAS,370,Add organic matter to improve fertility,Harvest tender pods periodically
225,Garden pea,Sandy Soil,60-80,Rabi,60-30-40,90,45,60,Basal + top dressing at 20 DAS,400,Cool season crop; supports trellis,Harvest pods 50–60 days after sowing
226,Garden pea,Sandy Loam,60-80,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,370,Loose soil improves root development,Harvest tender pods regularly
227,Garden pea,Loam,65-85,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,350,Well-drained loam ensures uniform pod set,Harvest pods when 7–10 cm long
228,Garden pea,Clay Loam,70-90,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,370,Ensure proper drainage,Harvest pods periodically for quality
229,Garden pea,Clay,70-90,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,390,Raised beds recommended in heavy soils,Harvest pods regularly for best quality
230,Garden pea,Red Soil,65-85,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,350,Responds well to compost/FYM,Harvest tender pods periodically
231,Garden pea,Black Soil,70-90,Rabi,60-30-40,85,43,60,Basal + top dressing at 20 DAS,410,High moisture retention; avoid waterlogging,Harvest pods before fibrous
232,Garden pea,Laterite Soil,65-85,Rabi,60-30-40,90,45,60,Basal + top dressing at 20 DAS,370,Add organic matter to improve fertility,Harvest tender pods regularly
233,Snow pea,Sandy Soil,50-70,Rabi,60-30-40,90,45,60,Basal + top dressing at 20 DAS,400,Cool climate crop; supports trellis,Harvest pods 45–55 days after sowing
234,Snow pea,Sandy Loam,50-70,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,370,Loose soil favors root growth,Harvest young pods regularly
235,Snow pea,Loam,55-75,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,350,Well-drained loam ensures uniform pod development,Harvest pods when 7–10 cm long
236,Snow pea,Clay Loam,60-80,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,370,Ensure drainage; avoid waterlogging,Harvest pods periodically for quality
237,Snow pea,Clay,60-80,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,390,Raised beds recommended in heavy soils,Harvest pods regularly
238,Snow pea,Red Soil,55-75,Rabi,60-30-40,80,40,55,Basal + top dressing at 20 DAS,350,Responds well to FYM/compost,Harvest tender pods periodically
239,Snow pea,Black Soil,60-80,Rabi,60-30-40,85,43,60,Basal + top dressing at 20 DAS,410,High moisture retention; avoid waterlogging,Harvest pods before fibrous
